,location,type,value,date,season
0,Дружба,PM10,533.8842163085939,01.01.2011,winter
1,Павлово,PM10,550.99951171875,01.01.2011,winter
2,Надежда,PM10,563.1102905273438,01.01.2011,winter
3,Орлов мост,PM10,553.935791015625,01.01.2011,winter
4,Хиподрума,PM10,603.5923461914062,01.01.2011,winter
5,Копитото,PM10,5.109692573547363,01.01.2011,winter
6,Дружба,PM10,439.7903442382812,02.01.2011,winter
7,Павлово,PM10,497.5596313476562,02.01.2011,winter
8,Надежда,PM10,572.875732421875,02.01.2011,winter
9,Орлов мост,PM10,564.6412963867188,02.01.2011,winter
10,Хиподрума,PM10,579.0767211914062,02.01.2011,winter
11,Копитото,PM10,14.50528049468994,02.01.2011,winter
12,Дружба,PM10,57.21858596801758,03.01.2011,winter
13,Павлово,PM10,38.5433235168457,03.01.2011,winter
14,Надежда,PM10,51.24270248413086,03.01.2011,winter
15,Орлов мост,PM10,57.58523559570312,03.01.2011,winter
16,Хиподрума,PM10,56.09777450561523,03.01.2011,winter
17,Копитото,PM10,4.246217727661134,03.01.2011,winter
18,Дружба,PM10,54.86091995239258,04.01.2011,winter
19,Павлово,PM10,55.634864807128906,04.01.2011,winter
20,Надежда,PM10,43.21650314331055,04.01.2011,winter
21,Орлов мост,PM10,51.55656814575195,04.01.2011,winter
22,Хиподрума,PM10,50.37272644042969,04.01.2011,winter
23,Копитото,PM10,17.54665374755859,04.01.2011,winter
24,Дружба,PM10,57.547645568847656,05.01.2011,winter
25,Павлово,PM10,32.798816680908196,05.01.2011,winter
26,Надежда,PM10,55.58372116088867,05.01.2011,winter
27,Орлов мост,PM10,48.20850372314453,05.01.2011,winter
28,Хиподрума,PM10,23.78515625,05.01.2011,winter
29,Копитото,PM10,19.0432186126709,05.01.2011,winter
30,Дружба,PM10,117.5171737670898,06.01.2011,winter
31,Павлово,PM10,112.8341751098633,06.01.2011,winter
32,Надежда,PM10,117.0868682861328,06.01.2011,winter
33,Орлов мост,PM10,124.8173141479492,06.01.2011,winter
34,Хиподрума,PM10,111.3699798583984,06.01.2011,winter
35,Копитото,PM10,23.35596466064453,06.01.2011,winter
36,Дружба,PM10,255.1301574707031,07.01.2011,winter
37,Павлово,PM10,318.5555114746094,07.01.2011,winter
38,Надежда,PM10,252.2180023193359,07.01.2011,winter
39,Орлов мост,PM10,326.2174377441406,07.01.2011,winter
40,Хиподрума,PM10,318.2513122558594,07.01.2011,winter
41,Копитото,PM10,5.76917028427124,07.01.2011,winter
42,Дружба,PM10,278.3345336914062,08.01.2011,winter
43,Павлово,PM10,415.100830078125,08.01.2011,winter
44,Надежда,PM10,399.8418884277344,08.01.2011,winter
45,Орлов мост,PM10,347.3922424316406,08.01.2011,winter
46,Хиподрума,PM10,428.8331604003906,08.01.2011,winter
47,Копитото,PM10,5.845527172088622,08.01.2011,winter
48,Дружба,PM10,396.8401794433594,09.01.2011,winter
49,Павлово,PM10,360.1455993652344,09.01.2011,winter
50,Надежда,PM10,549.9109497070311,09.01.2011,winter
51,Орлов мост,PM10,480.0197448730469,09.01.2011,winter
52,Хиподрума,PM10,606.0996704101562,09.01.2011,winter
53,Копитото,PM10,9.323119163513184,09.01.2011,winter
54,Дружба,PM10,285.4595336914062,10.01.2011,winter
55,Павлово,PM10,389.3230895996094,10.01.2011,winter
56,Надежда,PM10,452.8764343261719,10.01.2011,winter
57,Орлов мост,PM10,472.3402404785156,10.01.2011,winter
58,Хиподрума,PM10,588.1036376953125,10.01.2011,winter
59,Копитото,PM10,11.17634582519531,10.01.2011,winter
60,Дружба,PM10,285.4174499511719,11.01.2011,winter
61,Павлово,PM10,305.7827758789062,11.01.2011,winter
62,Надежда,PM10,275.24755859375,11.01.2011,winter
63,Орлов мост,PM10,339.6102600097656,11.01.2011,winter
