"Име на български език","Показател","Мерна единица","Дата","средноденонощна  стойност"
"София - Хиподрума","PM2.5","ug/m3","01.01.2011","523.4171142578125"
"София - Хиподрума","PM2.5","ug/m3","02.01.2011","542.6935424804688"
"София - Хиподрума","PM2.5","ug/m3","03.01.2011","46.4057731628418"
"София - Хиподрума","PM2.5","ug/m3","04.01.2011","40.99141693115234"
"София - Хиподрума","PM2.5","ug/m3","05.01.2011","22.78596305847168"
"София - Хиподрума","PM2.5","ug/m3","06.01.2011","89.32865142822266"
"София - Хиподрума","PM2.5","ug/m3","07.01.2011","265.189208984375"
"София - Хиподрума","PM2.5","ug/m3","08.01.2011","370.6294555664062"
"София - Хиподрума","PM2.5","ug/m3","09.01.2011","489.5523986816406"
"София - Хиподрума","PM2.5","ug/m3","10.01.2011","326.9606628417969"
"София - Хиподрума","PM2.5","ug/m3","11.01.2011","244.9688568115234"
"София - Хиподрума","PM2.5","ug/m3","12.01.2011","72.71508026123047"
"София - Хиподрума","PM2.5","ug/m3","13.01.2011","101.9512939453125"
"София - Хиподрума","PM2.5","ug/m3","14.01.2011","37.13843536376953"
"София - Хиподрума","PM2.5","ug/m3","15.01.2011","0"
"София - Хиподрума","PM2.5","ug/m3","17.01.2011","0"
"София - Хиподрума","PM2.5","ug/m3","18.01.2011","186.0777282714844"
"София - Хиподрума","PM2.5","ug/m3","19.01.2011","182.8188018798828"
"София - Хиподрума","PM2.5","ug/m3","20.01.2011","126.3071517944336"
"София - Хиподрума","PM2.5","ug/m3","21.01.2011","55.51381683349609"
"София - Хиподрума","PM2.5","ug/m3","22.01.2011","26.12140274047852"
"София - Хиподрума","PM2.5","ug/m3","23.01.2011","25.58400344848633"
"София - Хиподрума","PM2.5","ug/m3","24.01.2011","24.81838417053223"
"София - Хиподрума","PM2.5","ug/m3","25.01.2011","38.27165985107422"
"София - Хиподрума","PM2.5","ug/m3","26.01.2011","145.9833831787109"
"София - Хиподрума","PM2.5","ug/m3","27.01.2011","222.7221069335938"
"София - Хиподрума","PM2.5","ug/m3","28.01.2011","162.8884735107422"
"София - Хиподрума","PM2.5","ug/m3","29.01.2011","59.93072891235352"
"София - Хиподрума","PM2.5","ug/m3","30.01.2011","181.1801147460938"
"София - Хиподрума","PM2.5","ug/m3","31.01.2011","116.9558944702148"
"София - Хиподрума","PM2.5","ug/m3","01.02.2011","121.829345703125"
"София - Хиподрума","PM2.5","ug/m3","02.02.2011","139.4127044677734"
"София - Хиподрума","PM2.5","ug/m3","03.02.2011","64.166259765625"
"София - Хиподрума","PM2.5","ug/m3","04.02.2011","52.4169921875"
"София - Хиподрума","PM2.5","ug/m3","05.02.2011","80.76351165771484"
"София - Хиподрума","PM2.5","ug/m3","06.02.2011","94.140625"
"София - Хиподрума","PM2.5","ug/m3","07.02.2011","28.96522521972656"
"София - Хиподрума","PM2.5","ug/m3","08.02.2011","75.49468994140625"
"София - Хиподрума","PM2.5","ug/m3","09.02.2011","29.39718627929688"
"София - Хиподрума","PM2.5","ug/m3","10.02.2011","22.73426055908203"
"София - Хиподрума","PM2.5","ug/m3","11.02.2011","78.17453002929688"
"София - Хиподрума","PM2.5","ug/m3","12.02.2011","39.62833786010742"
"София - Хиподрума","PM2.5","ug/m3","13.02.2011","28.91647338867188"
"София - Хиподрума","PM2.5","ug/m3","14.02.2011","49.55683898925781"
"София - Хиподрума","PM2.5","ug/m3","15.02.2011","34.65131759643555"
"София - Хиподрума","PM2.5","ug/m3","16.02.2011","26.13805961608887"
"София - Хиподрума","PM2.5","ug/m3","17.02.2011","27.8563117980957"
"София - Хиподрума","PM2.5","ug/m3","18.02.2011","38.06635665893555"
"София - Хиподрума","PM2.5","ug/m3","19.02.2011","24.44494819641113"
"София - Хиподрума","PM2.5","ug/m3","20.02.2011","21.74365997314453"
"София - Хиподрума","PM2.5","ug/m3","21.02.2011","28.84761810302734"
"София - Хиподрума","PM2.5","ug/m3","22.02.2011","19.29878234863281"
"София - Хиподрума","PM2.5","ug/m3","23.02.2011","21.86413955688477"
"София - Хиподрума","PM2.5","ug/m3","24.02.2011","24.43808555603027"
"София - Хиподрума","PM2.5","ug/m3","25.02.2011","26.26080131530762"
"София - Хиподрума","PM2.5","ug/m3","26.02.2011","39.20145034790039"
"София - Хиподрума","PM2.5","ug/m3","27.02.2011","31.59924697875977"
"София - Хиподрума","PM2.5","ug/m3","28.02.2011","47.16510772705078"
"София - Хиподрума","PM2.5","ug/m3","01.03.2011","35.43872833251953"
"София - Хиподрума","PM2.5","ug/m3","02.03.2011","24.98931312561035"
"София - Хиподрума","PM2.5","ug/m3","03.03.2011","22.668701171875"
"София - Хиподрума","PM2.5","ug/m3","04.03.2011","58.17784118652344"
