,temp_min,temp_max,pressure,humidity,wind_speed,rain_24h,snow_3h,clouds_all,temp_cent,temp_max_cent,temp_min_cent,date_format,location,type,value,season,value_tomorrow
0,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Дружба,PM10,30.52597045898438,autumn,39.66559982299805
1,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Павлово,PM10,39.66559982299805,autumn,33.634471893310554
2,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Надежда,PM10,33.634471893310554,autumn,43.14337921142578
3,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Орлов мост,PM10,43.14337921142578,autumn,40.20306015014648
4,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Хиподрума,PM10,40.20306015014648,autumn,29.79598236083984
5,296.3,303.15,1021.0,20.0,6.0,,,0.0,31.0,31.0,24.150000000000034,01.10.2012,Копитото,PM10,29.79598236083984,autumn,33.19752883911133
13,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Дружба,PM10,33.19752883911133,autumn,41.89006423950195
14,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Павлово,PM10,41.89006423950195,autumn,31.6500358581543
15,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Надежда,PM10,31.6500358581543,autumn,48.2273063659668
16,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Орлов мост,PM10,48.2273063659668,autumn,50.9361686706543
17,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Хиподрума,PM10,50.9361686706543,autumn,24.19634628295898
18,290.505,296.00000000000006,1021.4,42.7,4.7,,,0.0,23.2,23.85,18.355000000000025,02.10.2012,Копитото,PM10,24.19634628295898,autumn,57.15873718261719
26,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Дружба,PM10,57.15873718261719,autumn,53.122337341308594
27,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Павлово,PM10,53.122337341308594,autumn,33.935226440429695
28,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Надежда,PM10,33.935226440429695,autumn,76.26779174804688
29,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Орлов мост,PM10,76.26779174804688,autumn,58.99773025512695
30,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Хиподрума,PM10,58.99773025512695,autumn,49.177894592285156
31,290.79157894736835,297.30473684210534,1018.3157894736842,54.73684210526316,2.0526315789473686,,,5.2631578947368425,21.210526315789473,25.15473684210529,18.641578947368437,03.10.2012,Копитото,PM10,49.177894592285156,autumn,26.680438995361328
39,287.17333333333346,294.5085714285713,1017.047619047619,76.76190476190476,3.1904761904761907,,,40.04761904761905,19.285714285714285,22.35857142857144,15.02333333333336,04.10.2012,Дружба,PM10,26.680438995361328,autumn,22.78443336486816
40,287.17333333333346,294.5085714285713,1017.047619047619,76.76190476190476,3.1904761904761907,,,40.04761904761905,19.285714285714285,22.35857142857144,15.02333333333336,04.10.2012,Павлово,PM10,22.78443336486816,autumn,20.5586986541748
41,287.17333333333346,294.5085714285713,1017.047619047619,76.76190476190476,3.1904761904761907,,,40.04761904761905,19.285714285714285,22.35857142857144,15.02333333333336,04.10.2012,Надежда,PM10,20.5586986541748,autumn,26.71441078186035
42,287.17333333333346,294.5085714285713,1017.047619047619,76.76190476190476,3.1904761904761907,,,40.04761904761905,19.285714285714285,22.35857142857144,15.02333333333336,04.10.2012,Орлов мост,PM10,26.71441078186035,autumn,24.5855541229248
43,287.17333333333346,294.5085714285713,1017.047619047619,76.76190476190476,3.1904761904761907,,,40.04761904761905,19.285714285714285,22.35857142857144,15.02333333333336,04.10.2012,Хиподрума,PM10,24.5855541229248,autumn,17.09243583679199
